Coutry_En,count
Belarus,1
Lithuania,4
N. Cyprus,330
Hungary,7
Ukraine,791
Poland,30
Netherlands,23
Kazakhstan,1
Russia,45
China,1
Spain,8
British Virgin Is.,93
Gibraltar,1
Georgia,7
Crimea (Russia temporarily occupied territory of Ukraine),24
Austria,24
Liechtenstein,2
United Kingdom,77
Belize,14
Panama,15
New Zealand,2
Czech Rep.,16
Dominica,2
United States,41
Congo,1
Jersey,3
Luxembourg,6
Italy,5
Sweden,1
Germany,15
Estonia,8
Latvia,10
Swaziland,10
Denmark,2
Bermuda,1
Malta,4
Singapore,3
Hong Kong,6
Seychelles,19
St. Kitts and Nevis,3
France,2
Cayman Is.,2
Isle of Man,1
Some regions of Donetsk and Lugansk regions (Russia temporarily occupied territory of Ukraine),1
Bulgaria,2
Slovakia,7
United Arab Emirates,2
Marshall Is.,1
Guernsey,1
Romania,1
Uruguay,1
Croatia,1
Korea,2
